id,sb,dsb,area_arcsec2,area_thresh_arcsec2
VELA01_a0.360_cam16,25.86016665557397,0.3540367454464629,0.355972078377,0.07339630482000001
VELA01_a0.370_cam16,25.92286732498067,0.36689177343081175,0.208641147057,0.07320742002
VELA01_a0.380_cam16,25.57579798843225,0.2698696325519718,0.3182312448,0.073156608
VELA01_a0.390_cam16,25.894471534121358,0.38032257525492097,0.498024410656,0.07323888392
VELA01_a0.400_cam16,25.516267337963882,0.26626908236584806,0.466420505308,0.07345204808
VELA01_a0.410_cam16,25.476781050288594,0.2581666896834906,0.5890711533280001,0.07227866912000001
VELA01_a0.420_cam16,25.200263372900547,0.19175965594717123,1.3492578589559998,0.07273627272
VELA01_a0.430_cam16,25.260112431874624,0.21712470427081607,2.04545893995,0.07331394050000001
VELA01_a0.440_cam16,25.729238984998517,0.3235042434551547,0.855728130816,0.07251933312
VELA01_a0.450_cam16,24.597224194204887,0.12114444247819939,1.012166896464,0.07334542728
VELA01_a0.460_cam16,25.4781154565143,0.2580364339441606,1.040922236926,0.07279176482
VELA01_a0.470_cam16,25.107285618175847,0.17836748087175405,0.770741291508,0.07237007432
VELA01_a0.480_cam16,25.283352327206327,0.22462250420009336,1.470857039712,0.07210083528
VELA01_a0.490_cam16,25.194001475110834,0.1956071546002806,1.4781544185070001,0.07335753938
VELA01_a0.500_cam16,25.242501636086814,0.21726739364422545,1.9648136054,0.07331394050000001
